Mechi ,Jhapa  
Mechi ,Ilam  
Mechi ,Panchthar  
Mechi ,Taplejung 
Koshi ,Morang  
Koshi ,Sunsari  
Koshi ,Bhojpur  
Koshi ,Dhankuta 
Koshi ,Terhathum  
Koshi ,Sankhuwasabha  
Sagarmatha ,Saptari  
Sagarmatha ,Siraha  
Sagarmatha ,Udayapur  
Sagarmatha ,Khotang  
Sagarmatha ,Okhaldhunga  
Sagarmatha ,Solukhumbu  
Janakpur ,Dhanusa  
Janakpur ,Mahottari  
Janakpur ,Sarlahi  
Janakpur ,Sindhuli 
Janakpur ,Ramechhap 
Janakpur ,Dolakha  
Bagmati ,Bhaktapur  
Bagmati ,Dhading 
Bagmati ,Kathmandu  
Bagmati ,Kavrepalanchok  
Bagmati ,Lalitpur  
Bagmati ,Nuwakot  
Bagmati ,Rasuwa 
Bagmati ,Sindhupalchok  
Narayani ,Bara  
Narayani ,Parsa  
Narayani ,Rautahat 
Narayani ,Chitwan  
Narayani ,Makwanpur  
Gandaki ,Gorkha  
Gandaki ,Kaski  
Gandaki ,Lamjung  
Gandaki ,Syangja  
Gandaki ,Tanahun 
Gandaki ,Manang  
Lumbini ,Kapilvastu  
Lumbini ,Nawalparasi 
Lumbini ,Rupandehi  
Lumbini ,Arghakhanchi  
Lumbini ,Gulmi  
Lumbini ,Palpa  
Daulagiri ,Baglung  
Daulagiri ,Myagdi  
Daulagiri ,Parbat  
Daulagiri ,Mustang  
Rapti ,Dang Deukhuri  
Rapti ,Pyuthan  
Rapti ,Rolpa  
Rapti ,Rukum  
Rapti ,Salyan  
Karnali ,Dolpa  
Karnali ,Humla  
Karnali ,Jumla  
Karnali ,Kalikot  
Karnali ,Mugu  
Bheri ,Banke  
Bheri ,Bardiya  
Bheri ,Surkhet  
Bheri ,Dailekh  
Bheri ,Jajarkot  
Seti ,Kailali  
Seti ,Achham  
Seti ,Doti   
Seti ,Bajhang  
Seti ,Bajura  
Mahakali ,Kanchanpur  
Mahakali ,Dadeldhura  
Mahakali ,Baitadi  
Mahakali ,Darchula  
